id,title,poster,director,cast,genre,nation,running_time,release_date,ratings,synopsis,keyword,status,avg_grade,viewer,cnt_click
10106,카사블랑카,https://movie-phinf.pstatic.net/20220907_278/1662527646869jLo6i_JPEG/movie_image.jpg,마이클 커티즈,험프리 보가트|잉그리드 버그만|폴 헌레이드,멜로/로맨스|드라마,미국,102.0,19490116,12세 관람가,"중동에 위치한 요지, 모로코의 카사브랑카는 전란을 피하여 미국으로 가려는 사람들의 기항지로 붐비고 있다. 이곳에서 술집을 경영하는 미국인 릭 브레인(험프리 보가트 분)은 이런 와중에 떼돈을 번 유지이다. 어느 날 밤, 반나치의 리더인 라즐로(폴 헨레이드 분)와 그의 아내 일리자(잉그리드 버그만 분)가 릭의 술집으로 찾아온다. 이들 부부는 릭에게 여권을 부탁하러 온 참이었는데 일리자를 본 릭은 깜짝 놀란다.  꿈같던 파리 시절, 릭과 일자는 사랑을 누비던 사이로 잊혀졌던 불꽃이 일자와 릭의 가슴을 뒤흔든다. 이들의 사연을 아는 피아노 주자인 샘만이 두 사람의 추억의 곡을 연주하여 이들이 놀라게 한다. 과거의 이루지 못한 옛 사랑을 위해 일리자를 붙잡아 두고 픈 생각에 번빈하던 릭은 처음엔 냉대하던 쫓기는 몸인 라즐로에게 일리자가 절실히 필요함을 알고 이들을 도울 결심을 한다. 릭은 끈질긴 나치의 눈을 피하여 경찰 서장(끌로드 레인스 분)을 구슬러 두사람의 패스포트를 준비한다. 이윽고 이별의 시간이 오고 온갖 착잡한 마음을 뒤로하고 릭과 일리자는 서로를 응시한 채 일자는 트랩을 오르고 릭은 사라지는 비행기를 한 동안 바라본다.",일리|사람|일자|피하|술집,1,9.5,47,0
10243,북북서로 진로를 돌려라,https://movie-phinf.pstatic.net/20180807_223/1533618155212UMhmv_JPEG/movie_image.jpg,알프레드 히치콕,캐리 그랜트|에바 마리 세인트|제임스 메이슨,모험|스릴러|멜로/로맨스,미국,136.0,19601001,12세 관람가,"뉴욕의 광고업자 로저 O. 손힐(캐리 그랜트)은 어느 날 정부 요원 조지 캐플란으로 오인 받고 두 명의 괴한에게 납치된다. 그는 어느 저택에서 술을 강제로 마신 뒤 버려져 음주운전으로 체포된다. 다음날 홀어머니와 함께 현장으로 가보지만 그곳의 내부는 전날 밤과 전혀 다른 모습이었다. 손힐은 그 저택 주인이 UN 외교관이란 이야기를 듣고 UN 본부 로비에서 그에게 면회를 신청하나 엉뚱한 사람이 나왔다가 현장에서 등에 칼을 맞고 쓰러진다. 손힐은 삽시간에 살인범 누명까지 뒤집어쓰게 되고 경찰과 적 스파이들로부터 추격을 당한다. 그래서 그는 자신의 결백을 입증해 줄 수 있는 단 하나의 인물인 캐플란을 찾으러 시카고행 열차에 몸을 싣고 그 곳에서 우연히 만난 금발의 미녀 이브 켄들(에바 마리 세인트)과 사랑을 속삭이는데.
  [스포일러] 손힐은 켄들의 도움으로 캐플런을 만나기 위해 41번 국도 변으로 나가지만 생각지도 않던 경비행기의 습격을 받는다. 켄들에게 속은 것이다. 그 후, 손힐은 미술품 경매장에서 납치범의 두목격인 밴덤과 함께 나타난 켄들이 조각품을 산 뒤 사라지자, 일부러 소동을 부려 경찰에게 끌려가 위기를 모면한다. 그리고 사우스다코타주 라피트 시티의 커다란 대통령 얼굴석상이 있는 러시모어 산 아래 카페에서 다시 밴덤과 나타난 켄들을 만나게 되고 켄들은 권총 두 발로 손힐을 쓰러뜨리고 사라진다. 한 대학교수가 손힐을 구출해 차에 싣고 숲으로 오나, 켄들이 쏜 총은 공포탄이었다.
  대학교수는 자신이 CIA 고문이며, 켄들은 밴덤의 정부라고 말한다. 밴덤은 경매장에서 구입한 조각품 속에 국가기밀의 마이크로필름을 넣어 그 날 밤 함께 비행기로 탈출한다. 그러나 켄들도 CIA의 요원이며 조지 캐플런은 CIA가 만들어낸 가공의 인물이었다. 켄들은 손힐의 기지로 조각품을 빼앗아 도망쳐 대통령 얼굴 석상 밑으로 내려오다 CIA 요원들의 구조로 살아난다. 뉴욕으로 돌아오는 열차에서 손힐과 켄들은 그들의 사랑을 다시 한번 확인 한다.",손힐|요원|조각품|뉴욕|정부,1,9.3,47,0
10526,블러드 심플,https://movie-phinf.pstatic.net/20190926_233/1569460483564Uy59c_JPEG/movie_image.jpg,조엘 코엔,존 게츠|프란시스 맥도맨드|댄 헤다야,스릴러|범죄|드라마,미국,96.0,20191017,15세 관람가,"삐뚤어진 욕망, 한 번의 잘못된 선택  
추잡한 비극이 시작된다!텍사스의 한마을, 술집을 운영하는 마티에게 
 사립탐정 비저가 찾아와 그의 아내 애비와 
 종업원 레이가 불륜을 저지르고 있다고 알려준다.
 마티는 레이를 해고하고 애비를 추궁하지만 
 오히려 적반하장의 그들의 모습에 분노하게 되고 
 비저에게 청부살인을 의뢰한다.
 그러나 딴 곳에 마음을 품은 비저는 해서는 안 될 
 선택을 하게 되고 모두를 파극으로 밀어 넣게 되는데...",선택|애비|레이|비저|욕망,0,8.5,48,0
10621,이창,https://movie-phinf.pstatic.net/20160725_260/1469412173674VhTj6_JPEG/movie_image.jpg,알프레드 히치콕,제임스 스튜어트,스릴러|미스터리,미국,112.0,19570224,15세 관람가,"사진작가 제프는 카레이싱 촬영 도중 다리를 다쳐 휠체어에 의지한 채 자신의 방에서 무료하게 지낸다. 그는 카메라 렌즈로 주변 이웃들을 훔쳐보기 시작한다. 갓 결혼한 신혼부부, 미녀 무용수, 슬픈 표정으로 혼자 지내는 미스 고독, 병든 아내와 남편 등 주변의 평범한 이웃을 관찰하던 중, 제프는 어느 집의 병든 아내와 남편이 심하게 다투는 모습을 목격한다.
 
 제프는 남편이 커다란 가방을 들고 집을 들락거린 이후 그 부인이 보이지 않는다는 것에 의심을 품는다. 더구나 톱과 칼을 만지작거리고, 화단을 파헤치던 강아지에게 신경질을 내는 남편의 모습은 제프의 의심을 더욱 부채질한다. 제프는 연인 리사와 간호사 스텔라의 도움을 받아 부부의 집을 조사하기 시작하는데...",제프|남편|주변|이웃|시작,1,9.4,45,0
13481,지상 최대의 쇼,https://movie-phinf.pstatic.net/20200219_193/1582072890651vO5jU_JPEG/movie_image.jpg,세실 B. 드밀,베티 허튼|코넬 와일드|찰톤 헤스톤,정보없음,미국,100.46654501216545,19550520,정보없음,"서커스단의 갖가지 애환을 큰 스케일로 그린 대작. 스츄어트는 항상 분장을 지우지않는 수수께끼의 피에로로 나온, 그로서는 이색적인 작품. 아카데미 작품상, 원작상 수상작.",작품|서커스|갖가지|애환|스케일,0,7.1,7,0
13512,빅 컨츄리,https://movie-phinf.pstatic.net/20111221_117/1324465405824w2dry_JPEG/movie_image.jpg,윌리엄 와일러,그레고리 펙|진 시몬스|캐럴 베이커,드라마|멜로/로맨스|서부,미국,165.0,19630301,정보없음,정보없음,정보없음,1,8.9,21,0
13775,대장 부리바,https://movie-phinf.pstatic.net/20190220_47/15506298050819Csko_JPEG/movie_image.jpg,J. 리 톰슨,토니 커티스|율 브린너,전쟁|액션|모험|드라마|멜로/로맨스,미국,120.0,19730629,12세 관람가,"폴란드가 터키의 침공을 받자, 폴란드에 인접한 기마족 코사크는 폴란드와의 동맹국으로서 전쟁에 참여한다. 하지만 폴란드가 배신함에 따라, 코사크족은 대초원을 되찾기 위한 재기와 복수를 다짐한다. 이들 중 한 사람인 용맹한 용사 티라스 부리바(Taras Bulba: 율 브리너 분)는 이즈음 아들 안드레이(Andrei Bulba: 토니 커티스 분)를 낳고 용감한 용사로 키우려한다. 청년으로 성장한 안드레이는 아버지의 뜻에 따라 학문을 배우기 위해 동생과 폴란드의 학교에 들어간다. 코사크라는 이유로 많은 배척을 받던 안드레이는 폴란드의 귀족 처녀 나타리아를 보고 한 눈에 반한다. 두 사람이 사랑하는 사이가 되자, 이를 시기한 나타리아의 오빠 알렉스 대위(Captain Alex: 리차드 러스트 분)를 살해하게 되고 안드레이와 그의 동생은 탈출을 감행하여 2년만에 초원의 집으로 돌아온다.  티라스는 폴란드 제국과의 동맹 협정으로 전쟁을 반대하고 있는 족장 니콜라스를 물리치고 진군한다. 마침내 폴란드와 코스크와의 대규모 전쟁이 시작되는데, 티라스가 지휘하는 코사크는 폴란드군을 제압하고 드브르 성을 포위한다. 부상을 치료한 안드레이는 성안에 있는 나타리아(Natalia Dubrov: 크리스틴 코프만 분)를 만나기 위해 어둠을 틈타 성안에 잠입하여 안드레이와 재회하지만, 결국 함께 잡히고 만다. 나타리아가 화형에 처할 위기를 맞자 안드레이는 그녀를 구할 조건으로 성밖의 소떼를 끌고 올 것을 약속한다. 하지만 아버지 티라스와 맞닥뜨러진 안드레이는 결국 배신자로서 총을 받고 쓰러진다. 이때 폴란드군은 총공격을 감행하자, 코스크는 이를 무찌르고 큰 희생 끝에 승리한다. 나타리아는 들판에 쓰러져 있는 안드레이의 시신을 발견하고는 슬퍼한다.",안드레이|폴란드|나타|리아|코사크,1,8.3,24,0
13776,베라 크루스,https://movie-phinf.pstatic.net/20111216_37/1324029336356K7T8o_JPEG/movie_image.jpg,로버트 알드리치,게리 쿠퍼|버트 랭카스터,서부|모험,미국,95.0,19570215,15세 관람가,"남북전쟁이 끝난 후, 새로운 돈벌이를 찾는 미국의 총잡이들은 황제군과 민중반란군의 내전이 벌어지고 있던 멕시코로 모여든다. 냉혹한 무법자 조 에린과 전 남군 대령 벤 트레인은 그중에서도 일급 총잡이들로, 두 사람은 막시밀리안 황제에게 사례금을 받고 백작부인을 베라 크루즈까지 호위하기로 한다. 이들은 수행 도중 백작부인의 마차에서 막대한 양의 황금을 발견한다. 백작부인은 황제의 군자금인 이 황금을 셋이서 빼돌리자고 제안하지만, 백작부인의 배신을 경계하고 있던 후작이 선수를 쳐 황금을 다른 루트로 가져간다. 여기에 황금은 멕시코 민중의 정당한 몫이라고 주장하는 반란군이 가세하여 사태는 더욱 복잡해진다.",백작부인|황금|황제|총잡이|민중,1,7.1,14,0
14600,시체들의 새벽,https://movie-phinf.pstatic.net/20200401_44/1585702463370olGgs_JPEG/movie_image.jpg,조지 로메로,데이비드 엠지|켄 포리,공포|스릴러|SF,미국,127.0,20200415,15세 관람가,"바이러스로 좀비가 창궐한 세상...목숨을 건 탈출이 시작된다!원인을 알 수 없는 바이러스로 인해 수많은 사람들이 사람의 살을 뜯어 먹는 괴물로 변해가기 시작하고
 살아남은 사람들은 괴물들을 피해 목숨을 건 탈출을 감행하기 시작한다. 방송국 직원 프랜과 스티븐,
 SWAT 팀 대원 피터와 로저 등 4명 역시 아비규환의 현장을 간신히 탈출해 쇼핑몰로 숨어들지만
 얼마 지나지 않아 폭주족들이 쇼핑몰에 들이닥쳐 서로 대치하는 상황에 내몰리게 되는데...",탈출|시작|사람|바이러스|목숨,0,7.5,13,0
18847,타이타닉: 25주년,https://movie-phinf.pstatic.net/20181129_107/1543452551390CN9TW_JPEG/movie_image.jpg,제임스 카메론,레오나르도 디카프리오|케이트 윈슬렛,멜로/로맨스|드라마,미국,194.0,19980220,15세 관람가,"“내 인생의 가장 큰 행운은 도박에서 딴 티켓으로 당신을 만난 거야”
단 하나의 운명, 단 한 번의 사랑,
영원으로 기억될 세기의 러브 스토리우연한 기회로 티켓을 구해 타이타닉호에 올라탄 자유로운 영혼을 가진 화가 잭(레오나르도 디카프리오)은 
 막강한 재력의 약혼자와 함께 1등실에 승선한 로즈(케이트 윈슬렛)에게 한 눈에 반한다. 
 진실한 사랑을 꿈꾸던 로즈 또한 생애 처음 황홀한 감정에 휩싸이고, 둘은 운명 같은 사랑에 빠지는데…",사랑|운명|하나|번의|영원,2,10.0,93,0
